UF;MUNICIPIO;VL_BRUTO_AGROP_1000;VL_BRUTO_INDUSTRIA_1000;VL_BRUTO_SERV_1000;VL_BRUTO_ADMDEF_1000;VL_BRUTO_PRECCORR_1000;IMPOSTOS_PROD_1000;PIB_PRECCORR_1000;HABITANTES;PIB_CAPITA_1
RJ;ANGRA DOS REIS;41516 ;2771018 ;4051525 ;1653972 ;8518031 ;604530 ;9122561 ;191504 ;47636.4
RJ;APERIBE;7331 ;14050 ;57315 ;80675 ;159371 ;8649 ;168019 ;11160 ;15055.48
RJ;ARARUAMA;39534 ;245682 ;1155250 ;868306 ;2308773 ;158553 ;2467326 ;124940 ;19748.08
RJ;AREAL;2449 ;45062 ;118469 ;99658 ;265638 ;50639 ;316277 ;12058 ;26229.6
RJ;ARMACAO DOS BUZIOS;8564 ;285573 ;819191 ;284130 ;1397458 ;77486 ;1474944 ;31674 ;46566.38
RJ;ARRAIAL DO CABO;15182 ;87133 ;276890 ;242622 ;621828 ;33333 ;655161 ;29077 ;22531.94
RJ;BARRA DO PIRAI;45481 ;251638 ;913471 ;615180 ;1825770 ;159649 ;1985419 ;97152 ;20436.21
RJ;BARRA MANSA;51137 ;783665 ;2305227 ;1158795 ;4298824 ;446858 ;4745682 ;180126 ;26346.46
RJ;BELFORD ROXO;2679 ;988890 ;3428107 ;3073707 ;7493383 ;790665 ;8284049 ;494141 ;16764.54
RJ;BOM JARDIM;67768 ;133336 ;234725 ;187602 ;623430 ;55700 ;679130 ;26424 ;25701.24
RJ;BOM JESUS DO ITABAPOANA;41472 ;87191 ;286702 ;251985 ;667350 ;44486 ;711836 ;36031 ;19756.2
RJ;CABO FRIO;35871 ;1913567 ;3202121 ;1721173 ;6872731 ;338634 ;7211366 ;212289 ;33969.57
RJ;CACHOEIRAS DE MACACU;50384 ;163464 ;318303 ;403853 ;936004 ;107065 ;1043069 ;56603 ;18427.81
RJ;CAMBUCI;64949 ;35556 ;92369 ;112105 ;304979 ;29365 ;334344 ;14824 ;22554.23
RJ;CARAPEBUS;8649 ;57332 ;88441 ;137851 ;292272 ;11032 ;303304 ;15293 ;19832.89
RJ;COMENDADOR LEVY GASPARIAN;4278 ;151762 ;89358 ;71924 ;317321 ;32328 ;349649 ;8255 ;42356.06
RJ;CAMPOS DOS GOYTACAZES;186273 ;5167896 ;7440673 ;3631679 ;16426521 ;856861 ;17283382 ;487186 ;35475.94
RJ;CANTAGALO;25075 ;376553 ;259636 ;159655 ;820919 ;45013 ;865932 ;19727 ;43895.79
RJ;CARDOSO MOREIRA;18840 ;97519 ;96090 ;105663 ;318112 ;12900 ;331013 ;12538 ;26400.75
RJ;CARMO;16803 ;145765 ;122947 ;138912 ;424427 ;42434 ;466860 ;18322 ;25480.86
RJ;CASIMIRO DE ABREU;9537 ;292839 ;448074 ;339002 ;1089452 ;51379 ;1140831 ;41167 ;27712.27
RJ;CONCEICAO DE MACABU;11465 ;14184 ;124508 ;165405 ;315562 ;17143 ;332705 ;22315 ;14909.49
RJ;CORDEIRO;4885 ;36075 ;145128 ;144450 ;330538 ;15721 ;346259 ;21158 ;16365.4
RJ;DUAS BARRAS;53538 ;16607 ;52251 ;92033 ;214429 ;19386 ;233815 ;11145 ;20979.33
RJ;DUQUE DE CAXIAS;13548 ;10649907 ;17891892 ;6404256 ;34959604 ;4898139 ;39857742 ;886917 ;44939.65
RJ;ENGENHEIRO PAULO DE FRONTIN;25825 ;23700 ;81228 ;112499 ;243251 ;16329 ;259580 ;13521 ;19198.29
RJ;GUAPIMIRIM;16391 ;88106 ;329883 ;413453 ;847833 ;60850 ;908683 ;57105 ;15912.49
RJ;IGUABA GRANDE;2873 ;35896 ;169978 ;198552 ;407298 ;19628 ;426926 ;26430 ;16153.08
RJ;ITABORAI;10301 ;574397 ;1892997 ;1543524 ;4021219 ;332357 ;4353576 ;230786 ;18864.13
RJ;ITAGUAI;14444 ;755332 ;5439117 ;1082369 ;7291263 ;577338 ;7868601 ;120855 ;65107.78
RJ;ITALVA;20051 ;75472 ;110069 ;112109 ;317702 ;13192 ;330894 ;14647 ;22591.24
RJ;ITAOCARA;51253 ;35891 ;217908 ;163683 ;468735 ;34086 ;502820 ;22736 ;22115.6
RJ;ITAPERUNA;65021 ;368218 ;1308542 ;651893 ;2393675 ;192233 ;2585908 ;99504 ;25987.98
RJ;ITATIAIA;5055 ;660565 ;1757202 ;266508 ;2689329 ;923567 ;3612896 ;30475 ;118552.79
RJ;JAPERI;7726 ;133350 ;420982 ;636777 ;1198835 ;95811 ;1294646 ;100562 ;12874.11
RJ;LAJE DO MURIAE;9180 ;17807 ;34993 ;62864 ;124843 ;7678 ;132521 ;7257 ;18261.17
