UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
RJ;ANGRA DOS REIS;59298;34818;0;1276;93;3970;2039;0;184;223;11621;3450;374;0;557;108;3;7;0;4;45;526
RJ;APERIBE;6343;2351;0;145;2;277;77;0;233;19;2400;755;14;0;59;5;1;0;0;0;3;2
RJ;ARARUAMA;63745;38878;0;1911;151;3638;2180;0;1530;304;11040;2131;182;0;1163;234;5;12;0;1;23;362
RJ;AREAL;5908;3244;0;193;29;405;170;0;18;44;1344;284;44;0;77;27;0;0;0;0;0;29
RJ;ARMACAO DE BUZIOS;20803;11447;0;372;12;1475;946;0;349;342;3880;1129;73;0;355;17;0;0;0;4;12;390
RJ;ARRAIAL DO CABO;11694;7325;0;204;12;765;510;0;104;63;1833;517;17;0;221;11;0;2;0;1;3;106
RJ;BARRA DO PIRAI;35609;23227;0;1406;156;2112;1679;0;121;238;4285;1322;305;0;397;151;1;4;0;6;15;184
RJ;BARRA MANSA;72955;50961;0;1972;655;4631;2404;0;347;276;7828;1364;653;0;724;698;1;4;0;27;20;390
RJ;BELFORD ROXO;112060;75236;0;2092;181;4933;4517;0;1296;528;19112;2296;799;0;633;161;1;4;0;30;45;196
RJ;BOM JARDIM;13756;7610;0;690;180;1065;450;0;12;70;2738;414;57;0;195;176;5;2;0;1;7;84
RJ;BOM JESUS DO ITABAPOANA;13260;5755;0;304;28;589;251;0;166;62;4686;1195;65;0;103;26;6;2;0;1;8;13
RJ;CABO FRIO;106811;64465;0;3108;225;6786;4785;0;1950;375;17535;4206;455;0;1713;346;5;21;0;6;41;789
RJ;CACHOEIRAS DE MACACU;24741;13968;0;984;67;1648;898;0;116;213;5043;1172;57;0;385;53;0;4;0;0;8;125
RJ;CAMBUCI;5398;2001;0;134;3;267;71;0;203;28;2119;448;33;0;70;7;0;1;0;0;3;10
RJ;CAMPOS DOS GOYTACAZES;219673;130586;0;6863;725;12071;5955;0;3062;1153;37668;11964;1437;0;5991;1097;16;11;0;41;44;989
RJ;CANTAGALO;7817;4472;0;221;13;566;213;0;10;52;1774;237;48;0;131;36;7;1;0;6;2;28
RJ;CARAPEBUS;4941;2558;0;150;7;294;157;0;60;35;1188;301;27;0;140;10;0;0;0;0;0;14
RJ;CARDOSO MOREIRA;4626;2032;0;176;22;264;107;0;146;32;1346;298;61;0;104;26;0;1;0;2;2;7
RJ;CARMO;5420;3175;0;158;8;465;118;0;6;37;1096;269;19;0;51;3;0;1;0;0;1;13
RJ;CASIMIRO DE ABREU;16219;9047;0;651;73;1162;598;0;242;111;2879;756;32;0;479;92;3;0;0;1;12;81
RJ;COMENDADOR LEVY GASPARIAN;2997;1618;0;164;10;175;93;0;23;37;662;127;21;0;44;6;0;0;0;0;1;16
RJ;CONCEICAO DE MACABU;9581;4622;0;194;6;551;176;0;84;43;2858;714;58;0;233;6;0;0;0;1;3;32
RJ;CORDEIRO;10357;6639;0;288;21;652;306;0;15;55;1794;255;57;0;163;17;8;0;0;2;4;81
RJ;DUAS BARRAS;4290;2509;0;156;14;350;130;0;9;49;789;168;10;0;68;17;1;0;0;0;0;20
RJ;DUQUE DE CAXIAS;276685;181038;0;9673;2286;15608;10897;1;1732;1119;37221;5616;3893;0;3080;3450;7;19;0;44;207;794
RJ;ENGENHEIRO PAULO DE FRONTIN;5242;3249;0;133;6;261;206;0;17;31;1059;187;18;0;51;10;0;0;0;0;2;12
RJ;GUAPIMIRIM;16614;9506;0;461;40;1037;583;0;121;82;3536;825;55;0;234;34;0;3;0;2;12;83
RJ;IGUABA GRANDE;11727;7366;0;193;6;616;410;0;154;86;2033;547;35;0;227;5;0;2;0;0;10;37
RJ;ITABORAI;84888;54035;0;3227;248;5082;3504;0;794;754;13005;1622;584;0;1425;266;0;5;0;3;22;312
RJ;ITAGUAI;49677;33283;0;1711;319;2750;2605;0;374;323;5620;1104;325;0;690;305;0;5;0;5;49;209
RJ;ITALVA;6183;2593;0;211;43;277;95;0;322;33;1864;485;34;0;142;61;0;1;0;0;13;9
RJ;ITAOCARA;14275;5642;0;383;20;883;255;0;289;54;4910;1569;45;0;166;29;0;0;0;0;5;25
RJ;ITAPERUNA;45064;19764;0;1065;66;2082;861;0;2246;149;14976;2773;119;0;710;89;15;1;0;12;23;113
RJ;ITATIAIA;7995;4678;0;161;23;452;277;0;29;81;1568;346;49;0;102;50;0;1;0;1;2;175
RJ;JAPERI;17892;10741;0;524;21;792;699;0;392;77;3800;552;46;0;157;43;0;0;0;1;11;36
RJ;LAJE DO MURIAE;2092;903;0;40;1;131;48;0;28;8;759;122;18;0;25;2;0;0;0;0;3;4
RJ;MACAE;111227;61780;0;3110;641;7515;4206;0;2399;1053;20984;4127;910;0;2205;955;10;9;1;72;42;1208
RJ;MACUCO;3535;2092;0;191;15;245;70;0;9;15;690;102;12;0;60;14;5;0;0;0;2;13
RJ;MAGE;72545;44121;0;2030;239;3984;2782;0;1335;482;13430;2528;198;0;838;248;2;6;0;1;39;282
RJ;MANGARATIBA;14090;8743;0;208;13;1122;684;0;73;154;1978;598;136;0;228;11;0;3;0;1;7;131
RJ;MARICA;63814;40442;0;1280;56;3762;2448;0;279;464;10743;2158;420;0;1173;68;8;2;0;0;32;479
RJ;MENDES;7160;4449;0;213;17;418;279;0;37;61;1256;245;56;0;77;15;0;1;0;3;3;30
RJ;MESQUITA;47471;32399;0;851;126;2063;1852;0;487;141;7218;1004;700;0;338;138;0;2;0;5;41;106
RJ;MIGUEL PEREIRA;16119;9506;0;393;8;1243;597;1;27;79;3356;560;51;0;133;14;3;2;0;0;6;140
RJ;MIRACEMA;11297;4916;0;271;3;524;189;0;628;42;3575;969;36;0;99;13;0;0;0;1;4;27
RJ;MUNICIPIO NAO INFORMADO;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RJ;NATIVIDADE;5614;2562;0;90;2;288;102;0;106;22;1735;570;47;0;65;13;0;0;0;0;5;7
RJ;NILOPOLIS;54858;38778;0;663;28;2123;2089;0;387;152;8217;1589;330;0;258;43;1;0;0;0;44;156
RJ;NITEROI;268251;187289;0;2797;135;12176;14021;0;431;1255;33015;5783;2494;0;3048;208;6;35;0;11;78;5469
RJ;NOVA FRIBURGO;121631;78010;0;3753;326;7645;4767;0;140;311;20723;2462;357;0;1542;444;6;10;0;4;28;1103
RJ;NOVA IGUACU;255280;172853;0;6693;541;12595;10262;5;2184;1679;37367;5854;1743;0;1937;543;2;10;0;13;86;913
RJ;PARACAMBI;18973;12045;0;728;169;1055;796;0;339;100;2419;708;110;0;223;188;0;0;0;5;6;82
RJ;PARAIBA DO SUL;15737;9409;0;620;39;1079;444;0;69;127;2947;603;102;0;166;39;4;2;0;0;9;78
RJ;PARATI;10718;4996;0;226;5;815;429;0;26;106;3024;685;58;0;160;10;0;1;0;0;16;161
RJ;PATY DO ALFERES;14180;7735;0;517;12;1071;401;0;34;59;3405;691;82;0;91;16;0;0;0;0;7;59
RJ;PETROPOLIS;161741;107351;0;3599;352;9374;7738;10;286;714;24532;3102;987;1;1217;489;3;31;0;7;22;1926
RJ;PINHEIRAL;7529;5181;0;222;21;427;250;0;24;64;882;136;168;0;92;21;0;0;0;1;11;29
RJ;PIRAI;9508;6390;0;395;58;675;365;0;24;92;979;195;73;0;148;61;0;1;0;0;2;50
RJ;PORCIUNCULA;3691;1975;0;70;1;206;93;0;91;23;934;220;27;0;42;1;0;0;0;0;1;7
RJ;PORTO REAL;9475;7313;0;237;129;481;259;0;22;43;586;176;20;0;60;112;0;1;0;0;2;34
RJ;QUATIS;4427;2856;0;160;32;304;156;0;22;74;563;117;34;0;40;33;0;0;0;0;4;32
RJ;QUEIMADOS;37705;23394;0;692;36;1784;1254;0;757;236;7816;1000;317;0;298;34;0;1;0;0;11;75
RJ;QUISSAMA;8124;4566;0;231;27;523;190;0;110;43;1518;476;120;0;242;39;0;1;0;0;3;35
RJ;RESENDE;71032;47569;0;1546;1097;4607;2707;1;165;287;8369;1506;548;0;693;1278;7;6;0;11;17;618
RJ;RIO BONITO;49798;29085;0;3326;182;3732;2932;0;144;344;6421;1613;143;0;1314;335;1;5;0;7;14;200
RJ;RIO CLARO;5376;3405;0;142;18;459;152;0;16;29;819;179;24;0;70;27;0;0;0;0;4;32
RJ;RIO DAS FLORES;2612;1672;0;58;2;203;79;1;7;31;405;78;25;0;34;1;0;0;0;0;0;16
RJ;RIO DAS OSTRAS;55323;33669;0;1178;189;3248;2118;0;720;782;9144;2120;147;0;1239;230;4;6;0;4;19;506
RJ;RIO DE JANEIRO;2827516;2035943;0;42907;4143;129139;154091;39;9123;17645;305015;47855;17327;9;19321;5649;32;225;0;289;818;37946
